block_number,timestamp,transaction_count,base_fee_per_gas_gwei
24534251,2026-02-25 13:32:59,408,0.147766448
24534250,2026-02-25 13:32:47,438,0.143010112
24534249,2026-02-25 13:32:35,77,0.156543907
24534248,2026-02-25 13:32:23,244,0.16386415
24534247,2026-02-25 13:32:11,319,0.165879501
24534246,2026-02-25 13:31:59,409,0.164368309
24534245,2026-02-25 13:31:47,214,0.164815261
24534244,2026-02-25 13:31:35,255,0.163549509
24534243,2026-02-25 13:31:23,464,0.161374436
24534242,2026-02-25 13:31:11,180,0.17068427
24534241,2026-02-25 13:30:59,340,0.17194846
24534240,2026-02-25 13:30:47,405,0.174211903
24534239,2026-02-25 13:30:35,415,0.173744089
24534238,2026-02-25 13:30:23,236,0.178932027
24534237,2026-02-25 13:30:11,451,0.177652164
24534236,2026-02-25 13:29:59,386,0.174083553
24534235,2026-02-25 13:29:47,249,0.177273716
24534234,2026-02-25 13:29:35,338,0.177168968
24534233,2026-02-25 13:29:23,305,0.176111174
24534232,2026-02-25 13:29:11,200,0.181803804
24534231,2026-02-25 13:28:59,427,0.179347796
24534230,2026-02-25 13:28:47,522,0.168398733
24534229,2026-02-25 13:28:35,249,0.180107154
24534228,2026-02-25 13:28:23,127,0.186319396
24534227,2026-02-25 13:28:11,266,0.189597396
24534226,2026-02-25 13:27:59,300,0.188118281
24534225,2026-02-25 13:27:47,320,0.193812009
24534224,2026-02-25 13:27:35,407,0.191665662
24534223,2026-02-25 13:27:23,198,0.20009938
24534222,2026-02-25 13:27:11,566,0.187697759
24534221,2026-02-25 13:26:59,366,0.176518101
24534220,2026-02-25 13:26:47,357,0.170275128
24534219,2026-02-25 13:26:35,435,0.151368139
24534218,2026-02-25 13:26:23,162,0.151736644
24534217,2026-02-25 13:26:11,771,0.148907174
24534216,2026-02-25 13:25:59,210,0.154685914
24534215,2026-02-25 13:25:47,77,0.165777006
24534214,2026-02-25 13:25:35,302,0.17675354
24534213,2026-02-25 13:25:23,56,0.173058093
24534212,2026-02-25 13:25:11,165,0.179313283
24534211,2026-02-25 13:24:59,535,0.173160162
24534210,2026-02-25 13:24:47,214,0.166386765
24534209,2026-02-25 13:24:35,107,0.184228778
24534208,2026-02-25 13:24:23,565,0.172847108
24534207,2026-02-25 13:24:11,207,0.186585381
24534206,2026-02-25 13:23:59,625,0.184773202
24534205,2026-02-25 13:23:47,368,0.184305929
24534204,2026-02-25 13:23:35,632,0.178052294
24534203,2026-02-25 13:23:23,135,0.187588565
24534202,2026-02-25 13:23:11,245,0.188526323
24534201,2026-02-25 13:22:59,329,0.195388694
24534200,2026-02-25 13:22:47,326,0.195363857
24534199,2026-02-25 13:22:35,266,0.200663559
24534198,2026-02-25 13:22:23,840,0.180710495
24534197,2026-02-25 13:22:11,315,0.162680017
24534196,2026-02-25 13:21:59,64,0.175865641
24534195,2026-02-25 13:21:47,83,0.181767383
24534194,2026-02-25 13:21:35,18,0.206971896
24534193,2026-02-25 13:21:23,338,0.199758779
24534192,2026-02-25 13:21:11,312,0.20860559
24534191,2026-02-25 13:20:59,61,0.22845493
24534190,2026-02-25 13:20:47,284,0.237474604
24534189,2026-02-25 13:20:35,803,0.21496212
24534188,2026-02-25 13:20:23,121,0.227722757
24534187,2026-02-25 13:20:11,265,0.231452109
24534186,2026-02-25 13:19:59,399,0.217740877
24534185,2026-02-25 13:19:47,223,0.227799131
24534184,2026-02-25 13:19:23,564,0.222883434
24534183,2026-02-25 13:19:11,315,0.22908929
24534182,2026-02-25 13:18:59,302,0.223425999
24534181,2026-02-25 13:18:47,418,0.224812367
24534180,2026-02-25 13:18:35,305,0.228860993
24534179,2026-02-25 13:18:23,305,0.233183227
24534178,2026-02-25 13:18:11,291,0.237697676
24534177,2026-02-25 13:17:59,242,0.242145922
24534176,2026-02-25 13:17:47,678,0.215349935
24534175,2026-02-25 13:17:35,142,0.224083916
24534174,2026-02-25 13:17:23,213,0.230197898
24534173,2026-02-25 13:17:11,332,0.232753513
24534172,2026-02-25 13:16:59,264,0.234302052
24534171,2026-02-25 13:16:47,347,0.229399726
24534170,2026-02-25 13:16:35,288,0.227370618
24534169,2026-02-25 13:16:23,318,0.220238298
24534168,2026-02-25 13:16:11,264,0.21897475
24534167,2026-02-25 13:15:59,542,0.199790498
24534166,2026-02-25 13:15:47,302,0.207898927
24534165,2026-02-25 13:15:35,217,0.216184013
24534164,2026-02-25 13:15:23,237,0.213444419
24534163,2026-02-25 13:15:11,317,0.209088905
24534162,2026-02-25 13:14:59,259,0.207367789
24534161,2026-02-25 13:14:47,314,0.206017938
24534160,2026-02-25 13:14:35,247,0.209612559
24534159,2026-02-25 13:14:23,388,0.20621907
24534158,2026-02-25 13:14:11,217,0.212740546
24534157,2026-02-25 13:13:59,292,0.20821471
24534156,2026-02-25 13:13:47,278,0.213273031
24534155,2026-02-25 13:13:35,203,0.220995729
24534154,2026-02-25 13:13:23,338,0.214576324
24534153,2026-02-25 13:13:11,301,0.217504107
24534152,2026-02-25 13:12:59,703,0.202094336
